ticker,event_date,horizon,direction,surprise_pct,stock_return,spy_return,abnormal_return,direction_correct
GOOGL,2025-04-24,5,long,40.1,3.298121253329853,2.154773526600271,1.1433477267295826,True
GOOGL,2025-04-24,10,long,40.1,-1.197556637268479,3.3602225972578483,-4.557779234526327,False
GOOGL,2024-10-29,1,long,14.83,4.012412677251759,-0.30250180720427605,4.314914484456034,True
GOOGL,2024-10-29,3,long,14.83,2.122455392955689,-1.8443789138961275,3.9668343068518164,True
GOOGL,2024-10-29,5,long,14.83,1.198356515923329,-0.8714948273216181,2.069851343244947,True
GOOGL,2024-10-29,10,long,14.83,8.281171772940823,2.6006868283989455,5.680484944541877,True
GOOGL,2024-04-25,1,long,25.58,13.625852709144606,0.9473885503756897,12.678464158768918,True
GOOGL,2024-04-25,3,long,25.58,7.566246828997972,-0.29991220870239,7.866159037700362,True
GOOGL,2024-04-25,5,long,25.58,10.103733923046045,0.3058663709660396,9.797867552080005,True
GOOGL,2024-04-25,10,long,25.58,12.310831442094821,3.312867323383653,8.997964118711169,True
GOOGL,2023-10-24,1,long,7.05,-8.865992364589786,-1.4352175181991342,-7.430774846390651,False
GOOGL,2023-10-24,3,long,7.05,-11.361811419864106,-3.0569283650236234,-8.304883054840483,False
GOOGL,2023-10-24,5,long,7.05,-9.9760539196734,-1.2817672429778495,-8.694286676695551,False
GOOGL,2023-10-24,10,long,7.05,-4.977154777816118,3.139521134362226,-8.116675912178344,False
GOOGL,2023-07-25,1,long,7.29,6.517791246121495,0.01536629643257727,6.502424949688917,True
