senator,ticker,owner,trade_date,amount,ret_3d,ret_5d,ret_10d,ret_20d
Thomas R Carper,VIAV,Spouse,2020-11-20,8000.5,-0.6750169589466504,-2.9166707249360435,-2.484560066197572,-1.9953628083040131
Thomas R Carper,CRWD,Spouse,2020-11-20,8000.5,0.8467982979690536,3.293999236940559,13.28375143895346,40.59044242198932
Thomas R Carper,DDOG,Spouse,2020-11-20,8000.5,2.898386563983757,9.139757681801331,7.4307468781340535,15.52953288494863
Thomas R Carper,GLW,Spouse,2020-11-20,8000.5,0.691916255555225,1.1913715446653095,-0.34626416409921923,-4.931784905017289
Thomas R Carper,PAAS,Spouse,2020-11-20,8000.5,-7.387572002217547,-6.017394163606693,-0.20360074986591759,5.999915434200488
Thomas R Carper,TMO,Spouse,2020-11-20,8000.5,-2.637129297645424,1.1966074809743654,0.9719271179266409,-1.2946444169304794
Thomas R Carper,LUBFX,Spouse,2020-11-20,8000.5,-2.0628952634125897,-1.864060915696153,-3.842468400281218,-3.937638754938111
Thomas R Carper,RIO,Spouse,2020-11-16,8000.5,1.2261480585185058,4.907870982833384,5.918812279326291,18.674851988178844
Ron L Wyden,NVDA,Child,2020-10-16,8000.5,-0.7631327873776073,-1.1671005141388746,-3.274679105294032,-6.837815862567364
Ron L Wyden,WDAY,Child,2020-10-16,8000.5,-0.9270842198997986,-1.8794032974800534,-2.4496318517886024,-6.359549059406833
Ron L Wyden,NVDA,Child,2020-10-16,8000.5,-0.7631327873776073,-1.1671005141388746,-3.274679105294032,-6.837815862567364
Ron L Wyden,WDAY,Child,2020-10-16,8000.5,-0.9270842198997986,-1.8794032974800534,-2.4496318517886024,-6.359549059406833
Ron L Wyden,NVDA,Child,2020-10-16,8000.5,-0.7631327873776073,-1.1671005141388746,-3.274679105294032,-6.837815862567364
Ron L Wyden,WDAY,Child,2020-10-16,8000.5,-0.9270842198997986,-1.8794032974800534,-2.4496318517886024,-6.359549059406833
Thomas R Carper,LDP,Spouse,2020-09-24,8000.5,-3.979623722306469,-4.100087751512893,-4.262966130350243,-6.13744231384159
Thomas R Carper,LDP,Spouse,2020-09-22,8000.5,-3.343700654941284,-4.5702606166203585,-3.850875317474234,-5.2366046007096045
Thomas R Carper,WIW,Spouse,2020-09-22,8000.5,-0.9220737753403707,-2.9848195297658253,-2.7117901084380502,-3.3486879888383614
Thomas R Carper,ATOAX,Spouse,2020-09-22,32500.5,0.475312277515072,-0.6267029456742845,-1.3918786849214548,-3.950170670465525
Pat Roberts,AAPL,Spouse,2020-09-17,8000.5,2.588125753154402,1.3674394806946322,5.0865338519420655,5.51213369884005
Pat Roberts,NVDA,Spouse,2020-09-14,32500.5,-2.4013416440383573,0.25021545818320057,2.1306927134535414,5.9724460512422075
Pat Roberts,AAPL,Spouse,2020-09-11,8000.5,-1.3088203979177981,-3.9825722383951327,1.45160014632566,0.19321991303526964
