ticker,date,h,stk,spy,abn,period,price
GDC,2022-06-27,5,-0.056962024043056184,0.006830437791160669,-0.06379246183421686,disc,18.959999084472656
GDC,2022-06-27,10,-0.1930379256576631,-0.0047813144710405295,-0.18825661118662257,disc,18.959999084472656
CNXC,2023-06-12,1,-0.01720296833010985,0.0011908327057914977,-0.01839380103590135,disc,85.44999694824219
CNXC,2023-06-12,3,-0.027852514200317105,0.006412283629107924,-0.03426479782942503,disc,85.44999694824219
CNXC,2023-06-12,5,-0.04049150623806819,-0.003938994197494841,-0.036552512040573346,disc,85.44999694824219
CNXC,2023-06-12,10,-0.02305434361222782,-0.0006183048857407935,-0.022436038726487025,disc,85.44999694824219
LUCD,2023-10-18,1,0.0325202936851642,-0.012288043346798578,0.04480833703196278,disc,1.2300000190734863
LUCD,2023-10-18,3,0.040650367106455254,-0.006566113643647029,0.047216480750102284,disc,1.2300000190734863
LUCD,2023-10-18,5,0.05691051394903735,-0.03254931670194596,0.08945983065098331,disc,1.2300000190734863
LUCD,2023-10-18,10,0.040650367106455254,0.010154110086566784,0.03049625701988847,disc,1.2300000190734863
CISO,2023-03-20,1,-0.17098441755452537,-0.01704649732551387,-0.1539379202290115,disc,5.789999961853027
CISO,2023-03-20,3,-0.20207255336829041,-0.007921595430296623,-0.19415095793799378,disc,5.789999961853027
CISO,2023-03-20,5,-0.2590673592197989,-0.00829760479358004,-0.25076975442621885,disc,5.789999961853027
CISO,2023-03-20,10,-0.2590673592197989,0.024466695936490146,-0.28353405515628904,disc,5.789999961853027
PRLD,2023-12-11,1,0.09705879836759011,0.01379011810453819,0.08326868026305193,disc,3.4000000953674316
PRLD,2023-12-11,3,0.279411700770106,0.01126908080148457,0.26814261996862143,disc,3.4000000953674316
PRLD,2023-12-11,5,0.18823524956884807,0.02314154297162299,0.16509370659722508,disc,3.4000000953674316
PRLD,2023-12-11,10,0.18529414610879152,0.0267399342790385,0.15855421182975302,disc,3.4000000953674316
GWAV,2024-05-16,1,0.025974025974025976,0.0011521113183466639,0.024821914655679313,disc,2541.0
GWAV,2024-05-16,3,-0.487012987012987,0.0007177351478913677,-0.48773072216087837,disc,2541.0
GWAV,2024-05-16,5,-0.44805194805194803,-1.890596920240673e-05,-0.44803304208274564,disc,2541.0
GWAV,2024-05-16,10,-0.8151515103474887,-0.0031164876305967287,-0.812035022716892,disc,2541.0
TWOH,2022-10-13,1,0.0020533567259652338,0.025696955836850468,-0.023643599110885233,disc,97.4000015258789
TWOH,2022-10-13,3,-0.1262833969103146,0.030394527776687413,-0.156677924687002,disc,97.4000015258789
TWOH,2022-10-13,5,-0.20841891923753367,0.046584468402108746,-0.2550033876396424,disc,97.4000015258789
TWOH,2022-10-13,10,-0.17864477672780912,0.08777223304052797,-0.2664170097683371,disc,97.4000015258789
BSPK,2022-01-03,1,-0.1935483760703627,-0.019202142486770817,-0.1743462335835919,disc,1.3949999809265137
BSPK,2022-01-03,3,-0.2580645299120466,-0.023997469894285393,-0.2340670600177612,disc,1.3949999809265137
BSPK,2022-01-03,5,-0.3161290256422176,-0.016333343089415517,-0.2997956825528021,disc,1.3949999809265137
BSPK,2022-01-03,10,-0.354838717947228,-0.05402573228449911,-0.30081298566272885,disc,1.3949999809265137
CTMX,2023-07-03,1,0.005555550404536735,-0.007830661842952343,0.013386212247489078,disc,1.7999999523162842
CTMX,2023-07-03,3,0.03333336865460525,-0.007830661842952343,0.04116403049755759,disc,1.7999999523162842
CTMX,2023-07-03,5,0.022222267845531777,0.006521752305226189,0.015700515540305587,disc,1.7999999523162842
CTMX,2023-07-03,10,0.011111167036458309,0.027238072780494095,-0.016126905744035788,disc,1.7999999523162842
CNFN,2022-10-05,1,0.0,-0.027893899575583254,0.027893899575583254,disc,4.5
CNFN,2022-10-05,3,0.0,-0.04142556663176062,0.04142556663176062,disc,4.5
CNFN,2022-10-05,5,0.0,-0.019373019158202238,0.019373019158202238,disc,4.5
CNFN,2022-10-05,10,-0.022222201029459637,-0.020873548472984504,-0.0013486525564751321,disc,4.5
WORX,2022-09-06,1,0.037704940267816484,0.006536291697658245,0.03116864857015824,disc,137.25
WORX,2022-09-06,3,0.13114754098360656,0.03315903887043992,0.09798850211316665,disc,137.25
WORX,2022-09-06,5,0.14754098360655737,-0.007994350358338726,0.1555353339648961,disc,137.25
WORX,2022-09-06,10,0.13114754098360656,-0.05125945043348571,0.18240699141709227,disc,137.25
AWCA,2024-04-03,1,0.0,0.0104468888749044,-0.0104468888749044,disc,1.0
AWCA,2024-04-03,3,0.20000004768371582,0.012181573490516871,0.18781847419319894,disc,1.0
AWCA,2024-04-03,5,0.5499999523162842,0.009608810894038273,0.5403911414222459,disc,1.0
AWCA,2024-04-03,10,0.46000003814697266,-0.02640968701564416,0.4864097251626168,disc,1.0
VINO,2023-12-13,1,-0.12962968032219357,-0.00567789482831123,-0.12395178549388235,disc,5.400000095367432
VINO,2023-12-13,3,-0.12962968032219357,0.005995607113651775,-0.13562528743584534,disc,5.400000095367432
VINO,2023-12-13,5,0.037037001061669086,0.0014618385778489495,0.03557516248382014,disc,5.400000095367432
VINO,2023-12-13,10,0.09259259095734859,0.006991351294874759,0.08560123966247384,disc,5.400000095367432
NCRA,2022-01-06,1,-0.15110354612225732,-0.0012443660598224155,-0.1498591800624349,disc,5.889999866485596
NCRA,2022-01-06,3,-0.04074699092673587,0.010577340673510757,-0.05132433160024663,disc,5.889999866485596
NCRA,2022-01-06,5,-0.14770796354502932,-0.0029393360251274863,-0.14476862751990183,disc,5.889999866485596
NCRA,2022-01-06,10,0.01867574465329121,-0.05631959537052612,0.07499534002381733,disc,5.889999866485596
HRGN,2023-01-26,1,-0.004643995298946633,-0.012546826143231918,0.007902830844285285,disc,6.460000038146973
HRGN,2023-01-26,3,-0.07430340808653813,0.012620773046797483,-0.08692418113333561,disc,6.460000038146973
