ticker,trans_date,filing_date,lag_days,n_insiders,accept_time,trigger_class,r_trans_5d,r_filing_5d,r_filing_plus1_5d
MRCY,2024-02-12,2024-02-13,1,5,2024-02-13 17:00:15,after_close_same_day,-2.9394386440533777,-6.1594722794865495,-9.908953679907507
MRVL,2025-09-25,2025-09-25,0,4,2025-09-25 15:25:59,intraday_same_day,1.1542621923368441,1.1542621923368441,2.5505738709889676
MSIF,2025-09-30,2025-09-30,0,5,2025-09-30 16:30:09,after_close_same_day,1.158073496400867,1.158073496400867,0.309065907972619
MXCT,2025-08-13,2025-08-13,0,5,2025-08-13 19:48:49,after_close_same_day,1.7759865665669068,1.7759865665669068,2.1666846804899427
MYCB,2025-01-22,2025-01-22,0,3,2025-01-22 17:02:10,after_close_same_day,63.04919197595075,63.04919197595075,-6.112799562519667
NBBK,2024-05-08,2024-05-09,1,3,2024-05-09 16:10:41,after_close_same_day,0.5320434326574279,1.307100437233585,1.1174973757086222
NEOG,2024-04-17,2024-04-17,0,4,2024-04-17 12:04:37,intraday_same_day,0.9236265776664218,0.9236265776664218,-0.5432970042674963
NEWT,2024-06-18,2024-06-18,0,4,2024-06-18 18:36:08,after_close_same_day,-3.510651668976348,-3.510651668976348,-1.168620079285274
NEWT,2024-09-23,2024-09-24,1,4,2024-09-24 15:51:12,intraday_same_day,4.252565461574414,1.6251897144891831,1.7057554881686747
NGNE,2024-11-26,2024-11-27,1,5,2024-11-27 16:39:29,after_close_same_day,-19.216920462419033,-16.07497743574954,-7.5973056450241465
NKE,2025-12-29,2025-12-30,1,3,2025-12-30 21:31:36,after_close_same_day,6.187892438958134,2.9434561930664165,1.319876261365593
