ticker,cluster_date,n_insiders,total_value,window_start,window_end,has_ceo,has_cfo,has_c_suite,titles_in_cluster,roles_in_cluster
NHF,2021-08-13,3,433591.71,2021-08-12,2021-08-13,False,False,False,See Remarks|Executive Vice President,"Director|Officer|Officer,TenPercentOwner"
BLL,2021-08-13,3,890594.0,2021-08-12,2021-08-13,False,False,False,Vice President & Controller,Director|Officer
ELAN,2021-08-13,3,900515.0,2021-08-11,2021-08-13,True,False,True,"President, CEO & Director|See Remarks","Director|Director,Officer"
GPMT,2021-08-13,3,304594.0,2021-08-12,2021-08-13,True,True,True,Chief Operating Officer|Chief Financial Officer|President and CEO,"Director,Officer|Officer"
COMM,2021-08-13,3,1739893.5,2021-08-13,2021-08-13,True,False,True,"President and CEO|SVP, Chief Legal Officer & Sec","Director|Director,Officer|Officer"
GOCO,2021-08-16,3,3556280.52,2021-08-16,2021-08-16,True,False,True,Chief Strategy Officer|Chief Executive Officer,"Director,Officer,TenPercentOwner|TenPercentOwner"
NICK,2021-08-16,3,2255507.23,2021-08-03,2021-08-16,False,False,False,,"Director,TenPercentOwner|TenPercentOwner"
CNR,2021-08-16,3,1236250.0,2021-08-05,2021-08-16,True,False,True,Chairman and CEO,"Director|Director,Officer"
AEYE,2021-08-16,3,816684.98,2021-08-16,2021-08-16,False,False,False,See Remarks,"Director|Director,Officer,TenPercentOwner"
BRSP,2021-08-16,3,1130100.0,2021-08-16,2021-08-16,True,False,True,See Remarks|See Remarks|CEO and President,"Director,Officer|Officer"
BWB,2021-08-17,4,825000.0,2021-08-17,2021-08-17,False,False,False,CHIEF TECHNOLOGY OFFICER|EVP & CHIEF OPERATING OFFICER,Director|Officer
SCOR,2021-08-18,3,725261.4,2021-08-11,2021-08-18,False,False,False,See Remarks,"Director|Director,Officer"
OSBC,2021-08-18,3,873210.5,2021-08-10,2021-08-18,True,True,True,CFO|CEO,"Director|Director,Officer|Officer"
SYNL,2021-08-18,3,217941.1,2021-08-17,2021-08-18,False,False,False,,Director
RILY,2021-08-19,3,11694339.52,2021-08-10,2021-08-19,True,False,True,"Chairman and Co-CEO|CEO B. Riley Securities, Inc.","Director|Director,Officer,TenPercentOwner|Officer"
DNUT,2021-08-19,3,4320623.49,2021-08-19,2021-08-19,True,False,True,President and CEO,"Director,Officer|DirectorOther|TenPercentOwner"
ET,2021-08-19,3,28854148.76,2021-08-06,2021-08-19,True,True,True,Executive Chairman|CFO,"Director|Director,Officer|Officer"
HIPO,2021-08-19,5,1973855.81,2021-08-19,2021-08-19,False,True,True,Chief Financial Officer|President,"Director|Director,Officer|Officer"
BECN,2021-08-20,3,6344643.68,2021-07-30,2021-08-20,True,True,True,President & CEO|EVP & CFO,"Director,Officer|Officer|TenPercentOwner"
REPX,2021-08-20,3,872227.44,2021-08-16,2021-08-20,False,False,False,,TenPercentOwner
