ticker,cluster_date,n_insiders,total_value,window_start,window_end,spy_5d_prior,spy_10d_prior,vix
NEE,2022-01-31,4,843358.0,2022-01-27,2022-01-31,2.289458174730855,-3.1868870681588493,24.829999923706055
PAXS,2022-02-01,8,7650000.0,2022-02-01,2022-02-01,4.253466056038575,-0.7754711718193245,21.959999084472656
EPZM,2022-02-01,3,102000001.5,2022-02-01,2022-02-01,4.253466056038575,-0.7754711718193245,21.959999084472656
XM,2022-02-02,6,38914835.58,2022-02-02,2022-02-02,5.530936193959994,1.239607664052588,22.09000015258789
USER,2022-02-03,10,80152811.3,2022-02-03,2022-02-03,3.5618287686683354,-0.03359233246140991,24.350000381469727
GRNA,2022-02-04,4,37750000.0,2022-02-04,2022-02-04,1.5273191330005154,2.4476160832558636,23.219999313354492
SSIC,2022-02-08,5,315200074.0,2022-02-08,2022-02-08,-0.4437714617682251,3.7908189257776526,21.440000534057617
DUOT,2022-02-08,4,5100000.0,2022-02-08,2022-02-08,-0.4437714617682251,3.7908189257776526,21.440000534057617
AZEK,2022-02-08,3,821173.0,2022-02-08,2022-02-08,-0.4437714617682251,3.7908189257776526,21.440000534057617
ACLX,2022-02-09,10,227499960.0,2022-02-09,2022-02-09,0.04154948601078886,5.574783755530959,19.959999084472656
PFSI,2022-02-09,6,91362792.36,2022-02-09,2022-02-09,0.04154948601078886,5.574783755530959,19.959999084472656
CBAN,2022-02-10,4,338250.0,2022-02-10,2022-02-10,0.6090447995155399,4.192566701067099,23.90999984741211
ATGE,2022-02-10,3,492439.68,2022-02-10,2022-02-10,0.6090447995155399,4.192566701067099,23.90999984741211
NICK,2022-02-11,3,563838.72,2022-02-11,2022-02-11,-1.836412826987792,-0.33714157845473675,27.360000610351562
VERA,2022-02-14,4,15999960.0,2022-02-14,2022-02-14,-1.842325547046858,-2.4204781692822572,28.329999923706055
INCY,2022-02-14,6,641712876.9,2022-02-14,2022-02-14,-1.842325547046858,-2.4204781692822572,28.329999923706055
MODD,2022-02-14,5,9000000.0,2022-02-14,2022-02-14,-1.842325547046858,-2.4204781692822572,28.329999923706055
RSVR,2022-02-15,10,7406471.77,2022-02-14,2022-02-15,-1.0733027543799627,-1.512311204825877,25.700000762939453
ALPN,2022-02-15,5,3999607.5,2022-02-15,2022-02-15,-1.0733027543799627,-1.512311204825877,25.700000762939453
KNTE,2022-02-15,5,9947230.0,2022-02-15,2022-02-15,-1.0733027543799627,-1.512311204825877,25.700000762939453
AREN,2022-02-15,5,81645169.1,2022-02-15,2022-02-15,-1.0733027543799627,-1.512311204825877,25.700000762939453
VGZ,2022-02-15,3,4290000.0,2022-02-15,2022-02-15,-1.0733027543799627,-1.512311204825877,25.700000762939453
CTKB,2022-02-16,5,37139524.4,2022-02-16,2022-02-16,-2.3910586780264453,-2.350502664606593,24.290000915527344
TRNS,2022-02-16,3,228492.3,2022-02-16,2022-02-16,-2.3910586780264453,-2.350502664606593,24.290000915527344
FLNC,2022-02-16,3,437400.0,2022-02-16,2022-02-16,-2.3910586780264453,-2.350502664606593,24.290000915527344
