ticker,cluster_date,n_insiders,total_value,window_start,window_end,year,sector
PROK,2024-06-13,3,129470677.6,2024-06-11,2024-06-13,2024,Healthcare
RGEN,2024-06-14,3,600476.1,2024-06-14,2024-06-14,2024,Healthcare
IRON,2024-06-17,6,23000148.0,2024-06-17,2024-06-17,2024,Healthcare
BATRA,2024-06-24,4,319680.0,2024-06-24,2024-06-24,2024,Communication Services
SPG,2024-06-28,4,239370.98,2024-06-28,2024-06-28,2024,Real Estate
TBN,2024-06-28,9,37887600.0,2024-06-28,2024-06-28,2024,Energy
ALMS,2024-07-01,13,505000000.0,2024-07-01,2024-07-01,2024,Healthcare
ACHR,2024-07-01,6,329925860.88,2024-07-01,2024-07-01,2024,Industrials
APPN,2024-07-05,6,113650968.24,2024-07-05,2024-07-05,2024,Technology
LINE,2024-07-26,3,1123200.0,2024-07-26,2024-07-26,2024,Real Estate
NEXT,2024-07-29,7,613772722.5,2024-07-29,2024-07-29,2024,Energy
RIG,2024-08-02,3,31380000.0,2024-08-02,2024-08-02,2024,Energy
MGM,2024-08-05,3,7312197.0,2024-08-05,2024-08-05,2024,Consumer Cyclical
CRK,2024-08-05,4,84111100.32,2024-08-05,2024-08-05,2024,Energy
HTGC,2024-08-06,5,471148.55,2024-08-06,2024-08-06,2024,Financial Services
ACHR,2024-08-08,6,59939988.9,2024-08-08,2024-08-08,2024,Industrials
GT,2024-08-09,3,771394.4,2024-08-06,2024-08-09,2024,Consumer Cyclical
MGTX,2024-08-12,3,15000000.0,2024-08-12,2024-08-12,2024,Healthcare
RXO,2024-08-12,6,1244953380.6,2024-08-12,2024-08-12,2024,Industrials
ACDC,2024-08-13,3,8535711.69,2024-08-13,2024-08-13,2024,Energy
APEI,2024-08-14,6,7259199.6,2024-08-14,2024-08-14,2024,Consumer Defensive
GBDC,2024-08-16,3,1599895.0,2024-08-08,2024-08-16,2024,Financial Services
TBN,2024-08-30,3,749912.64,2024-08-30,2024-08-30,2024,Energy
HR,2024-09-05,3,865680.75,2024-08-12,2024-09-05,2024,Real Estate
MTDR,2024-09-06,4,311175.0,2024-08-16,2024-09-06,2024,Energy
BTSG,2024-09-11,12,1551966932.88,2024-09-11,2024-09-11,2024,Healthcare
CGNT,2024-09-11,3,18342633.63,2024-09-11,2024-09-11,2024,Technology
ZBIO,2024-09-12,5,48280000.0,2024-09-12,2024-09-12,2024,Healthcare
RIG,2024-09-12,3,18585000.0,2024-09-12,2024-09-12,2024,Energy
